side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
1,2021-01-21 08:45:00,2021-01-21 09:05:00,1869.791,1866.0487714285714,1877.275457142857,0.13,0.13,0.4864897142857103,0.0,0.020800000000000003,0.012999999999988177,0.0,0,2021-01-21 12:55:00,1865.9487714285715,sl,False,-0.4994897142856985,-1.0267220449235508
-1,2021-03-09 15:30:00,2021-03-09 16:10:00,1716.124,1720.796492857143,1706.779014285714,0.11,0.11,0.5139742142857268,0.0,0.0176,0.0022,0.0,1,2021-03-10 13:00:00,1712.895,news_close,False,0.3551900000000046,0.6910657969361642
-1,2021-03-23 11:55:00,2021-03-23 12:00:00,1738.985,1742.1805214285714,1732.5939571428569,0.16,0.16,0.5112834285714416,0.0,0.0256,0.0032,0.0,0,2021-03-23 13:30:00,1734.208,news_close,False,0.7643199999999706,1.49490469921063
1,2021-05-24 09:50:00,2021-05-24 11:35:00,1879.808,1874.9597142857142,1889.5045714285716,0.1,0.1,0.4848285714285794,0.0,0.016,0.009999999999990905,-0.0539,1,2021-05-25 01:20:00,1874.8597142857143,sl,False,-0.5487285714285703,-1.1317991631798956
-1,2021-05-25 07:40:00,2021-05-25 07:45:00,1884.138,1887.3570071428574,1877.699985714285,0.16,0.16,0.5150411428571897,0.0,0.0256,0.0032,0.0,0,2021-05-25 13:30:00,1881.008,news_close,False,0.500799999999981,0.9723495043945306
1,2021-09-10 14:00:00,2021-09-10 14:05:00,1794.788,1790.012942857143,1804.3381142857143,0.11,0.11,0.5252562857142834,0.0,0.0176,0.010999999999989995,0.0,0,2021-09-10 17:45:00,1789.912942857143,sl,False,-0.5362562857142734,-1.0209421577602473
1,2021-11-02 12:10:00,2021-11-02 12:25:00,1791.178,1787.9788714285714,1797.5762571428575,0.16,0.16,0.5118605714285878,0.0,0.0256,0.01599999999998545,0.0,0,2021-11-02 14:05:00,1787.8788714285715,sl,False,-0.5278605714285731,-1.031258512362712
-1,2021-11-19 11:10:00,2021-11-19 11:30:00,1860.598,1864.2495285714285,1853.2949428571428,0.14,0.14,0.511214,0.0,0.022400000000000003,0.01399999999998727,0.0,0,2021-11-19 14:05:00,1864.3495285714284,sl,False,-0.5252139999999873,-1.02738579146891
-1,2022-04-06 10:25:00,2022-04-06 10:30:00,1928.098,1933.4527142857144,1917.3885714285711,0.09,0.09,0.4819242857142967,0.0,0.0144,0.0018,0.0,0,2022-04-06 14:00:00,1930.6280000000002,news_close,False,-0.227700000000018,-0.4724808579889816
-1,2022-04-08 12:40:00,2022-04-08 13:00:00,1934.542,1939.0352214285715,1925.5555571428567,0.11,0.11,0.4942543571428746,0.0,0.0176,0.010999999999989995,0.0,0,2022-04-08 13:35:00,1939.1352214285714,sl,False,-0.5052543571428646,-1.0222557471492562
-1,2022-06-22 11:55:00,2022-06-22 12:00:00,1838.408,1843.1376571428573,1828.9486857142851,0.1,0.1,0.47296571428573775,0.0,0.016,0.009999999999990905,0.0,0,2022-06-22 12:40:00,1843.2376571428572,sl,False,-0.48296571428572865,-1.0211431816259509
-1,2022-06-24 08:20:00,2022-06-24 09:15:00,1827.232,1831.3773571428571,1818.9412857142856,0.12,0.12,0.4974428571428598,0.0,0.0192,0.0,0.0,0,2022-06-24 13:00:00,1818.9412857142856,tp,False,0.9948857142857196,2.0
1,2022-09-22 07:30:00,2022-09-22 07:35:00,1659.122,1655.6737857142857,1666.0184285714288,0.14,0.14,0.48275000000001006,0.0,0.022400000000000003,0.0,0.0,0,2022-09-22 08:10:00,1666.0184285714288,tp,False,0.9655000000000201,2.0
1,2022-12-19 14:55:00,2022-12-19 15:00:00,1791.925,1788.8595642857144,1798.055871428571,0.16,0.16,0.49046971428568215,0.0,0.0256,0.01599999999998545,0.0,0,2022-12-19 15:45:00,1788.7595642857145,sl,False,-0.5064697142856676,-1.0326217899575874
-1,2023-02-14 14:25:00,2023-02-14 14:40:00,1849.915,1871.1057142857144,1807.5335714285711,0.02,0.02,0.4238142857142884,0.0,0.0032,0.0004,0.0,1,2023-02-15 13:00:00,1835.805,news_close,False,0.282199999999998,0.665857686992272
-1,2023-03-30 08:10:00,2023-03-30 08:40:00,1968.315,1971.5564285714286,1961.832142857143,0.15,0.15,0.4862142857142771,0.0,0.024,0.003,0.0,0,2023-03-30 12:00:00,1968.765,news_close,False,-0.06750000000000682,-0.1388276773909376
-1,2023-03-30 13:25:00,2023-03-30 14:20:00,1969.898,1975.0523,1959.5893999999996,0.1,0.1,0.5154300000000148,0.0,0.016,0.009999999999990905,0.0,0,2023-03-30 15:15:00,1975.1523,sl,False,-0.5254300000000057,-1.0194012766039824
-1,2023-03-31 13:05:00,2023-03-31 13:10:00,1976.258,1987.7712357142857,1953.2315285714287,0.04,0.04,0.46052942857142626,0.0,0.0064,0.0008,0.0,0,2023-03-31 13:15:00,1978.845,news_close,False,-0.10347999999999957,-0.2246979097969854
1,2023-04-05 15:45:00,2023-04-05 16:25:00,2020.865,2009.569207142857,2043.456585714286,0.04,0.04,0.45183171428571767,0.0,0.0064,0.003999999999996362,-0.06468000000000002,1,2023-04-06 02:30:00,2009.4692071428572,sl,False,-0.5205117142857141,-1.1520034956124534
-1,2023-06-09 12:50:00,2023-06-09 13:20:00,1964.785,1973.142692857143,1948.0696142857144,0.06,0.06,0.501461571428572,0.0,0.0096,0.0012,0.0,2,2023-06-12 16:30:00,1953.375,news_close,False,0.6846000000000049,1.365209298191495
1,2023-06-26 15:10:00,2023-06-26 16:30:00,1924.795,1921.3029642857143,1931.7790714285716,0.14,0.14,0.4888850000000048,0.0,0.022400000000000003,0.01399999999998727,0.0,0,2023-06-26 23:35:00,1921.2029642857144,sl,False,-0.502884999999992,-1.0286365914274054
1,2023-11-17 15:35:00,2023-11-17 15:40:00,1982.345,1979.28495,1988.4651000000001,0.16,0.16,0.4896080000000075,0.0,0.0256,0.01599999999998545,0.0,0,2023-11-17 17:05:00,1979.18495,sl,False,-0.505607999999993,-1.0326792045881301
1,2023-12-15 15:10:00,2023-12-15 17:40:00,2032.265,2026.5749714285714,2043.6450571428575,0.08,0.08,0.4552022857142947,0.0,0.0128,0.007999999999992725,0.0,0,2023-12-15 18:15:00,2026.4749714285715,sl,False,-0.46320228571428745,-1.0175746041947906
1,2024-02-02 14:45:00,2024-02-02 15:05:00,2031.645,2027.29695,2040.3411,0.11,0.11,0.4782855000000063,0.0,0.0176,0.0,-0.05929,1,2024-02-04 23:00:00,2040.3411,tp,False,0.8972810000000127,1.8760363841262193
-1,2024-02-09 15:20:00,2024-02-09 18:05:00,2026.055,2037.2566428571429,2003.6517142857144,0.04,0.04,0.4480657142857126,0.0,0.0064,0.0008,0.0,3,2024-02-13 13:00:00,2028.335,news_close,False,-0.09119999999999891,-0.20354157234589146
1,2024-03-11 09:45:00,2024-03-11 10:05:00,2179.725,2175.6342285714286,2187.9065428571425,0.12,0.12,0.49089257142855786,0.0,0.0192,0.011999999999989085,0.0,0,2024-03-11 13:10:00,2175.5342285714287,sl,False,-0.5028925714285469,-1.02444526704706
1,2024-04-15 10:00:00,2024-04-15 10:30:00,2349.665,2344.700642857143,2359.5937142857138,0.1,0.1,0.4964357142856898,0.0,0.016,0.0,0.0,0,2024-04-15 11:05:00,2359.5937142857138,tp,False,0.9928714285713796,2.0
1,2024-04-19 12:25:00,2024-04-19 13:05:00,2378.635,2372.555357142857,2390.794285714287,0.08,0.08,0.4863714285714741,0.0,0.0128,0.0,0.0,0,2024-04-19 14:20:00,2390.794285714287,tp,False,0.9727428571429482,2.0
1,2024-05-29 13:20:00,2024-05-29 13:40:00,2341.605,2334.1387285714286,2356.537542857143,0.06,0.06,0.44797628571428505,0.0,0.0096,0.005999999999994543,-0.09702,1,2024-05-30 00:35:00,2334.0387285714287,sl,False,-0.5509962857142796,-1.2299675301689958
