side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,tp2,tp1_oz,tp1_filled,partial_pnl_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
-1,2020-05-18 12:24:00,2020-05-18 12:26:00,1753.225,1753.225,1746.5911857142855,0.13,0.13,0.4311979285714347,0.0,0.0208,0.0,1739.9573714285712,0.06,True,0.39802885714286274,0.0,0,2020-05-18 13:46:00,1739.9573714285712,tp2,False,1.3267628571428758,3.0769230769230766
-1,2020-06-24 15:12:00,2020-06-24 15:16:00,1772.958,1772.958,1766.8657428571432,0.15,0.15,0.4569192857142639,0.0,0.024,0.0,1760.7734857142864,0.07,True,0.4264579999999797,0.0,0,2020-06-24 16:10:00,1760.7734857142864,tp2,False,1.4012191428570757,3.0666666666666664
1,2020-06-30 15:53:00,2020-06-30 15:54:00,1783.758,1780.7393071428571,1789.7953857142859,0.16,0.16,0.48299085714286777,0.0,0.0256,0.0032,1795.8327714285717,0.08,False,0.0,0.0,0,2020-06-30 16:00:00,1782.808,news_close,False,-0.15200000000000727,-0.31470575012364255
-1,2020-07-07 08:29:00,2020-07-07 08:42:00,1778.188,1778.188,1774.6325285714286,0.15,0.15,0.45712928571427935,0.0,0.024,0.007999999999992723,1771.077057142857,0.07,True,0.24888300000000757,0.0,0,2020-07-07 11:44:00,1778.288,sl,False,0.24088300000001484,0.5269472062452252
1,2020-07-08 09:46:00,2020-07-08 10:00:00,1801.798,1801.798,1808.8153,0.13,0.13,0.45612449999999854,0.0,0.020800000000000003,0.0014000000000000002,1815.8326,0.06,True,0.42103799999999864,0.0,0,2020-07-08 14:00:00,1810.258,news_close,False,1.0132380000000012,2.221406655419747
1,2020-07-23 15:36:00,2020-07-23 16:00:00,1894.938,1889.5684071428573,1905.6771857142858,0.09,0.09,0.48326335714285507,0.0,0.0144,0.008999999999991815,1916.4163714285714,0.04,False,0.0,0.0,0,2020-07-23 17:32:00,1889.4684071428574,sl,False,-0.49226335714284686,-1.018623385917777
-1,2020-07-28 07:53:00,2020-07-28 07:55:00,1914.118,1920.8514357142858,1900.6511285714282,0.07,0.07,0.4713405000000103,0.0,0.011200000000000002,0.006999999999993635,1887.1842571428565,0.03,False,0.0,0.0,0,2020-07-28 08:19:00,1920.9514357142857,sl,False,-0.47834050000000394,-1.0148512593337375
-1,2020-07-28 09:55:00,2020-07-28 09:56:00,1930.545,1934.726642857143,1922.1817142857144,0.11,0.11,0.45998071428571163,0.0,0.0176,0.010999999999989995,1913.8184285714287,0.05,False,0.0,0.0,0,2020-07-28 12:37:00,1934.8266428571428,sl,False,-0.47098071428570165,-1.0239140460857616
1,2020-07-28 14:38:00,2020-07-28 14:39:00,1946.498,1946.498,1954.068328571429,0.12,0.12,0.4542197142857367,0.0,0.0192,0.005999999999994543,1961.638657142858,0.06,True,0.4542197142857367,0.0,0,2020-07-28 15:11:00,1946.3980000000001,sl,False,0.44821971428574214,0.9867905337190623
1,2020-07-31 07:44:00,2020-07-31 07:45:00,1974.205,1969.2071785714286,1980.7001785714285,0.09,0.09,0.44980392857142076,0.0,0.0144,0.0018,1987.1953571428571,0.04,False,0.0,0.0,0,2020-07-31 12:00:00,1974.795,news_close,False,0.053100000000013095,0.11805143669744932
1,2020-08-04 14:35:00,2020-08-04 14:36:00,1984.248,1984.248,1988.992,0.11,0.11,0.4758600000000024,0.0,0.0176,0.0,1993.7359999999999,0.05,True,0.23719999999999575,0.0,0,2020-08-04 14:53:00,1993.7359999999999,tp2,False,0.8064799999999854,1.6947841802210344
1,2020-08-05 07:41:00,2020-08-05 07:48:00,2036.355,2029.3499642857143,2050.3650714285714,0.07,0.07,0.4903524999999968,0.0,0.011200000000000002,0.006999999999993635,2064.3751428571427,0.03,False,0.0,0.0,0,2020-08-05 08:23:00,2029.2499642857144,sl,False,-0.4973524999999905,-1.0142754447055817
1,2020-08-05 08:43:00,2020-08-05 08:47:00,2034.305,2034.305,2042.1074714285717,0.12,0.12,0.4681482857142964,0.0,0.0192,0.0012,2049.9099428571435,0.06,True,0.4681482857142964,0.0,0,2020-08-05 11:45:00,2039.965,news_close,False,0.8077482857142877,1.7254111792417068
