side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,tp2,tp1_oz,tp1_filled,partial_pnl_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
-1,2020-08-24 09:00:00,2020-08-24 09:20:00,1947.235,1950.6892785714288,1940.3264428571422,0.15,0.15,0.5181417857143288,0.0,0.024,0.014999999999986358,,0.0,False,0.0,0.0,0,2020-08-24 10:35:00,1950.7892785714287,sl,False,-0.5331417857143151,-1.0289496049412552
1,2020-09-07 11:35:00,2020-09-07 12:10:00,1927.978,1924.1947714285714,1935.5444571428575,0.13,0.13,0.49181971428573207,0.0,0.020800000000000003,0.012999999999988177,,0.0,False,0.0,-0.07007000000000001,1,2020-09-08 03:20:00,1924.0947714285714,sl,False,-0.5748897142857202,-1.1689033554106922
1,2020-12-11 09:30:00,2020-12-11 10:30:00,1834.198,1831.1422071428572,1840.309585714286,0.16,0.16,0.48892685714286926,0.0,0.0256,0.01599999999998545,,0.0,False,0.0,0.0,0,2020-12-11 11:00:00,1831.0422071428573,sl,False,-0.5049268571428547,-1.032724731248114
-1,2021-01-11 08:45:00,2021-01-11 09:05:00,1850.925,1855.6380571428572,1841.4988857142855,0.1,0.1,0.47130571428572243,0.0,0.016,0.0,,0.0,False,0.0,0.0,0,2021-01-11 12:50:00,1841.4988857142855,tp,False,0.9426114285714449,2.0
1,2021-01-19 14:10:00,2021-01-19 14:30:00,1838.475,1832.6349,1850.1551999999997,0.08,0.08,0.46720799999999146,0.0,0.0128,0.0,,0.0,False,0.0,-0.043120000000000006,1,2021-01-20 02:50:00,1850.1551999999997,tp,False,0.8912959999999829,1.9077070598106178
1,2021-01-21 08:45:00,2021-01-21 09:05:00,1869.791,1865.8057714285715,1877.761457142857,0.13,0.13,0.5180797142857023,0.0,0.020800000000000003,0.0026000000000000003,,0.0,False,0.0,0.0,0,2021-01-21 13:00:00,1867.083,news_close,False,-0.3520399999999813,-0.6795093308861808
-1,2021-03-09 15:30:00,2021-03-09 16:10:00,1716.124,1720.796492857143,1706.779014285714,0.11,0.11,0.5139742142857268,0.0,0.0176,0.0022,,0.0,False,0.0,0.0,1,2021-03-10 13:00:00,1712.895,news_close,False,0.3551900000000046,0.6910657969361642
-1,2021-03-23 11:55:00,2021-03-23 12:00:00,1738.985,1742.4905214285714,1731.973957142857,0.15,0.15,0.5258282142857184,0.0,0.024,0.003,,0.0,False,0.0,0.0,0,2021-03-23 13:30:00,1734.208,news_close,False,0.7165499999999724,1.3627074024038996
-1,2021-04-20 14:40:00,2021-04-20 14:45:00,1774.618,1778.4509571428573,1766.9520857142852,0.13,0.13,0.49828442857145777,0.0,0.020800000000000003,0.012999999999988177,,0.0,False,0.0,0.0,0,2021-04-20 15:40:00,1778.5509571428572,sl,False,-0.511284428571446,-1.0260895168593933
1,2021-05-24 09:50:00,2021-05-24 11:35:00,1879.808,1874.9597142857142,1889.5045714285716,0.1,0.1,0.4848285714285794,0.0,0.016,0.009999999999990905,,0.0,False,0.0,-0.0539,1,2021-05-25 01:20:00,1874.8597142857143,sl,False,-0.5487285714285703,-1.1317991631798956
